     0    1    2       3         4         5
10 NaN   남부  NaN      남부  1.597479  0.830424
11 NaN  강원실  NaN     NaN  2.134008   0.85772
12 NaN  충청실  NaN     NaN  1.348775  0.788836
13 NaN  NaN  NaN     NaN                    
14 NaN  수도권  NaN      동부  1.506697  0.819233
15 NaN  NaN  NaN    강남출장  1.375783  0.892733
16 NaN  NaN  NaN      강동  1.432278  0.852551
17 NaN  NaN  NaN      대치  1.483017  0.836925
18 NaN  NaN  NaN      서초  1.402108   0.82014
19 NaN  NaN  NaN      송파   2.06425  0.717256
20 NaN  NaN  NaN      하남  1.561438  0.890447
21 NaN  NaN  NaN  프리미엄케어  1.170871  0.841575
22 NaN  NaN  NaN     북부1  1.636318  0.859299
23 NaN  NaN  NaN    용산출장  1.694482  0.862361
24 NaN  NaN  NaN      은평  1.314584  0.862894
25 NaN  NaN  NaN    충무로역  1.312817  0.836516
26 NaN  NaN  NaN     홍대역  2.273884  0.874514
27 NaN  NaN  NaN     북부2  1.518608  0.799871
28 NaN  NaN  NaN      강북  1.602849  0.840946
29 NaN  NaN  NaN      광진  2.380794  0.807227
